antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Cake'}),frozenset({'Bread'}),0.10385631273111463,0.32720549392498677,0.02334918119387216,0.22482197355035605,0.6870971842602906,-0.010633174910540093,0.8679225714852205,-0.33694715589216956
frozenset({'Bread'}),frozenset({'Coffee'}),0.32720549392498677,0.47839408346539886,0.09001584786053883,0.2751049402647724,0.5750592446126481,-0.06651732451054836,0.719560589535706,-0.5234308325337133
frozenset({'Pastry'}),frozenset({'Bread'}),0.0861067089276281,0.32720549392498677,0.029160063391442156,0.33865030674846625,1.0349774470049187,0.0009854751665225349,1.017305236458508,0.036979559353271456
frozenset({'Cake'}),frozenset({'Coffee'}),0.10385631273111463,0.47839408346539886,0.054727945060750134,0.5269582909460835,1.1015150670946732,0.005043699519652715,1.1026636902226088,0.10284008197236212
frozenset({'Cake'}),frozenset({'Tea'}),0.10385631273111463,0.14263074484944532,0.02377179080824089,0.2288911495422177,1.6047812817904374,0.008958687566085076,1.1118654060857458,0.42053760905446824
frozenset({'Cookies'}),frozenset({'Coffee'}),0.054410987849973586,0.47839408346539886,0.02820919175911252,0.5184466019417476,1.083722854986449,0.002179297096177455,1.083173576674676,0.08170024899043797
frozenset({'Hot chocolate'}),frozenset({'Coffee'}),0.05832012678288431,0.47839408346539886,0.029582673005810883,0.5072463768115942,1.0603107236134584,0.0016826694059270814,1.0585531835555142,0.060402942732124765
frozenset({'Juice'}),frozenset({'Coffee'}),0.03856312731114633,0.47839408346539886,0.020602218700475437,0.5342465753424658,1.11674996369621,0.0021538467549000982,1.1199185855007614,0.10873767258382645
frozenset({'Medialuna'}),frozenset({'Coffee'}),0.061806656101426306,0.47839408346539886,0.03518225039619651,0.5692307692307692,1.1898783636857841,0.00561431179849357,1.2108708776696098,0.17009069880691494
frozenset({'Pastry'}),frozenset({'Coffee'}),0.0861067089276281,0.47839408346539886,0.04754358161648178,0.5521472392638037,1.154168202215526,0.006350641518827256,1.1646817040430137,0.146160565189467
frozenset({'Sandwich'}),frozenset({'Coffee'}),0.07184363444268357,0.47839408346539886,0.038246170100369785,0.5323529411764706,1.1127916493452503,0.0038766004483390126,1.1153837208916,0.1092048538285688
frozenset({'Tea'}),frozenset({'Coffee'}),0.14263074484944532,0.47839408346539886,0.049867934495509775,0.3496296296296296,0.7308402041617589,-0.01836576996072778,0.8020136529860041,-0.3004821389436774
frozenset({'Toast'}),frozenset({'Coffee'}),0.03359746434231379,0.47839408346539886,0.023666138404648707,0.7044025157232704,1.4724314954330286,0.007593310243846081,1.7645817176383314,0.33200580986740375
